,Title,Authors,Year,Cited By,Detected_Dataset,Detected_Topic,Abstract,DOI,Journal,URL,Mentions_Accuracy,Mentions_F1,Mentions_Precision,Mentions_Recall,Mentions_Auc,Mentions_Roc,Mentions_Sensitivity,Mentions_Specificity,Mentions_Confusion_matrix,Mentions_Loss_function,Mentions_Cross-entropy,Mentions_Mean_squared_error,Mentions_Overfitting,Mentions_Underfitting,Mentions_Cross-validation,Mentions_Training_time,Mentions_Inference_time,Mentions_Statistical_significance,Mentions_P-value,Mentions_T-test,Mentions_Anova,Mentions_Correlation,Mentions_Regression,Mentions_Baseline_comparison,Mentions_Mae,Mentions_Rmse,Mentions_Bias
0,10 Automated Face Analysis for Affective Computing,"['JF Cohn', 'F De la Torre']",2015,170,Affective Faces Database,classifier,Differences in manual coding between databases may and do occur as well and can  contribute to impaired generalizability of classifiers from one database to another.,No DOI,The Oxford handbook of affective …,https://academic.oup.com/edited-volume/28057/chapter/212009519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3D facial expression recognition based on automatically selected features,"['H Tang', 'TS Huang']",2008,205,Binghamton University 3D Facial Expression,"classification, classifier, facial expression recognition",facial expression recognition from 3D facial shapes is inves distances between 83 facial  feature points in the 3D space. Using a  al. at Binghamton University. It was designed to sample,No DOI,… on computer vision and pattern recognition …,https://ieeexplore.ieee.org/document/4563052,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3D facial expression recognition based on primitive surface feature distribution,"['J Wang', 'L Yin', 'X Wei', 'Y Sun']",2006,440,Binghamton University 3D Facial Expression,facial expression recognition,expressions using 3D facial expression range data. We propose a novel approach to extract  primitive 3D facial expression  distribution to classify the prototypic facial expressions. In,No DOI,… Vision and Pattern Recognition  …,https://ieeexplore.ieee.org/document/1640921,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3D facial expression recognition based on properties of line segments connecting facial feature points,"['H Tang', 'TS Huang']",2008,153,Binghamton University 3D Facial Expression,"classification, classifier, facial expression recognition",Binghamton University have recently constructed a 3D facial expression database for facial   This is definitely the first attempt to make a publicly available 3D facial expression database,No DOI,… on Automatic Face & Gesture Recognition,https://ieeexplore.ieee.org/document/4813304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3D facial expression recognition using SIFT descriptors of automatically detected keypoints,"['S Berretti', 'B Ben Amor', 'M Daoudi', 'A Del Bimbo']",2011,184,Binghamton University 3D Facial Expression,"classification, classifier, facial expression recognition","at the Binghamton University (BU-3DFE database) [34], and at the Bogaziçi University (  facial expression recognition algorithms. This is due to the fact that, differently from other",No DOI,The Visual Computer,https://www.researchgate.net/publication/220068159_3D_facial_expression_recognition_using_SIFT_descriptors_of_automatically_detected_keypoints,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,A 3D facial expression database for facial behavior research,"['L Yin', 'X Wei', 'Y Sun', 'J Wang']",2006,1631,Binghamton University 3D Facial Expression,"classification, classifier, deep learning, facial expression recognition, machine learning, neural network",3D: Critical Issues and Limitations of 2D (1) 3D surface features exhibited in facial expressions  The common theme in the current research on face expression recognition is that the face,No DOI,… and gesture recognition  …,https://ieeexplore.ieee.org/document/1613022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,A brief review of facial emotion recognition based on visual information,['BC Ko'],2018,762,Facial Expression Recognition 2013,facial expression recognition,"recognition and facial expression recognition. In this paper, the term FER refers to facial  emotion recognition  the general aspects of recognition of facial emotion expression.) has also",No DOI,sensors,https://www.mdpi.com/1424-8220/18/2/401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,A compact deep learning model for robust facial expression recognition,"['CM Kuo', 'SH Lai', 'M Sarkis']",2018,193,Facial Expression Recognition 2013,facial expression recognition,"In this paper, we propose a compact frame-based facial expression recognition framework  for facial expression recognition which achieves very competitive performance with respect to",No DOI,… vision and pattern recognition …,https://openaccess.thecvf.com/content_cvpr_2018_workshops/papers/w41/Kuo_A_Compact_Deep_CVPR_2018_paper.pdf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,A deep learning perspective on the origin of facial expressions,"['R Breuer', 'R Kimmel']",2017,140,"Acted Facial Expressions In The Wild, Extended Cohn-Kanade, Static Facial Expression in the Wild","CNN, FER, deep learning, machine learning","We verify our findings on the Extended Cohn-Kanade (CK+),  tasks and tests using transfer  learning, including cross-dataset  long-short-term-memory (LSTM) recurrent neural network (",No DOI,arXiv preprint arXiv:1705.01842,https://arxiv.org/abs/1705.01842,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,A deeper look at facial expression dataset bias,"['S Li', 'W Deng']",2020,127,"Affective Faces Database, MMI Facial Expression","FER, classification, classifier","As the skew class distribution across domains is a possible bottleneck for cross-domain FER,   Pantic, “Induced disgust, happiness and surprise: An addition to the MMI facial expression",No DOI,IEEE Transactions on Affective Computing,https://arxiv.org/abs/1904.11150,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,A facial expression recognition system using convolutional networks,"['AT Lopes', 'E De Aguiar']",2015,148,Facial Expression Recognition 2013,facial expression recognition,a simple solution for facial expression recognition that uses a  Abstract—Facial expression  recognition has been an active  The recognition of facial expressions is not an easy problem,No DOI,2015 28th SIBGRAPI …,https://ieeexplore.ieee.org/document/7314574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
