Title,Authors,Year,Cited By,Dataset,Abstract,DOI,Journal,URL,Mentions_Accuracy,Mentions_F1,Mentions_Precision,Mentions_Recall,Mentions_Auc,Mentions_Roc,Mentions_Sensitivity,Mentions_Specificity,Mentions_Confusion_matrix,Mentions_Loss_function,Mentions_Cross-entropy,Mentions_Mean_squared_error,Mentions_Overfitting,Mentions_Underfitting,Mentions_Cross-validation,Mentions_Training_time,Mentions_Inference_time,Mentions_Statistical_significance,Mentions_P-value,Mentions_T-test,Mentions_Anova,Mentions_Correlation,Mentions_Regression,Mentions_Baseline_comparison,Mentions_Mae,Mentions_Rmse,Mentions_Bias
Deep facial expression recognition: A survey,"['S Li', 'W Deng']",2020,1919,Facial Expression Recognition 2013 facial expression recognition,"However, since 2013, emotion recognition  facial expressions, deep learning techniques  have increasingly been implemented to handle the challenging factors for emotion recognition",No DOI,IEEE transactions on affective computing,https://arxiv.org/abs/1804.08348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep facial expression recognition: A survey,"['S Li', 'W Deng']",2020,1919,Facial Expression Recognition 2013 facial expression recognition,"However, since 2013, emotion recognition  facial expressions, deep learning techniques  have increasingly been implemented to handle the challenging factors for emotion recognition",No DOI,IEEE transactions on affective computing,https://arxiv.org/abs/1804.08348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fera 2015-second facial expression recognition and analysis challenge,"['MF Valstar', 'T Almaev', 'JM Girard']",2015,326,Facial Expression Recognition 2013 facial expression recognition,"recognition of facial expressions, to be held in conjunction with the 11 IEEE conference on  Face and Gesture Recognition,  For a general overview of the field of expression recognition",No DOI,… Gesture Recognition …,https://ieeexplore.ieee.org/document/7284874/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep facial expression recognition: A survey,"['S Li', 'W Deng']",2020,1919,Facial Expression Recognition 2013 facial expression recognition,"However, since 2013, emotion recognition  facial expressions, deep learning techniques  have increasingly been implemented to handle the challenging factors for emotion recognition",No DOI,IEEE transactions on affective computing,https://arxiv.org/abs/1804.08348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fera 2015-second facial expression recognition and analysis challenge,"['MF Valstar', 'T Almaev', 'JM Girard']",2015,326,Facial Expression Recognition 2013 facial expression recognition,"recognition of facial expressions, to be held in conjunction with the 11 IEEE conference on  Face and Gesture Recognition,  For a general overview of the field of expression recognition",No DOI,… Gesture Recognition …,https://ieeexplore.ieee.org/document/7284874/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Facial expression recognition from world wild web,"['A Mollahosseini', 'B Hasani', 'MJ Salvador']",2016,105,Facial Expression Recognition 2013 facial expression recognition,"The network architecture we used in these experiments are AlexNet [13] and a networks  for facial expression recognition recently published in WACV2016 in [21], called WACV-Net in",No DOI,… pattern recognition …,https://arxiv.org/abs/1605.03639,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep facial expression recognition: A survey,"['S Li', 'W Deng']",2020,1919,Facial Expression Recognition 2013 facial expression recognition,"However, since 2013, emotion recognition  facial expressions, deep learning techniques  have increasingly been implemented to handle the challenging factors for emotion recognition",No DOI,IEEE transactions on affective computing,https://arxiv.org/abs/1804.08348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fera 2015-second facial expression recognition and analysis challenge,"['MF Valstar', 'T Almaev', 'JM Girard']",2015,326,Facial Expression Recognition 2013 facial expression recognition,"recognition of facial expressions, to be held in conjunction with the 11 IEEE conference on  Face and Gesture Recognition,  For a general overview of the field of expression recognition",No DOI,… Gesture Recognition …,https://ieeexplore.ieee.org/document/7284874/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Facial expression recognition from world wild web,"['A Mollahosseini', 'B Hasani', 'MJ Salvador']",2016,105,Facial Expression Recognition 2013 facial expression recognition,"The network architecture we used in these experiments are AlexNet [13] and a networks  for facial expression recognition recently published in WACV2016 in [21], called WACV-Net in",No DOI,… pattern recognition …,https://arxiv.org/abs/1605.03639,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Facial expression recognition: A survey,"['Y Huang', 'F Chen', 'S Lv', 'X Wang']",2019,197,Facial Expression Recognition 2013 facial expression recognition,Various kinds of data can be used as the input of the emotion recognition system. Expression  recognition and emotion recognition is related but different. Human facial image is the,No DOI,Symmetry,https://www.sciencedirect.com/science/article/pii/S1877050915021225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
