Datasets,Accuracy
CK+,94.4
CK+,96.8
CK+,96.7
CK+,92.05
CK+,93.7
CK+,95.7
CK+,98.6
CK+,95.79
CK+,94.39
CK+,95.37
CK+,97.1
CK+,97.3
CK+,98.9
JAFFE,91.8
JAFFE,95.8
MMI,74.76
MMI,75.85
MMI,77.9
MMI,78.53
MMI,78.46
MMI,73.23
TFD,85.43
TFD,87.8
TFD,88.6
TFD,88.9
FER 2013,71.2
FER 2013,67.21
FER 2013,75.1
FER 2013,71.33
FER 2013,73.73
FER 2013,
SFEW 2.0,51.75
SFEW 2.0,48.5
SFEW 2.0,51.05
SFEW 2.0,55.15
SFEW 2.0,
SFEW 2.0,52.52
SFEW 2.0,50.98
SFEW 2.0,53.9
SFEW 2.0,55.96
AffectNet+,85.86
AffectNet+,67.0
AffectNet+,88.62
AffectNet+,91.47
AffectNet+,78.51
