Image,Age,Gender,Race,Emotion
contempt_-_S138_008_00000007.png,30,Woman,white,neutral
contempt_-_S138_008_00000008.png,30,Woman,white,neutral
contempt_-_S138_008_00000009.png,29,Woman,white,neutral
contempt_-_S139_002_00000011.png,28,Woman,white,neutral
contempt_-_S139_002_00000012.png,28,Woman,white,neutral
contempt_-_S139_002_00000013.png,28,Woman,white,neutral
contempt_-_S147_002_00000011.png,32,Woman,white,happy
contempt_-_S147_002_00000012.png,32,Woman,white,happy
contempt_-_S147_002_00000013.png,32,Woman,white,happy
contempt_-_S148_002_00000013.png,26,Woman,white,neutral
contempt_-_S148_002_00000014.png,26,Woman,white,neutral
contempt_-_S148_002_00000015.png,27,Woman,white,neutral
contempt_-_S149_002_00000011.png,31,Man,black,happy
contempt_-_S149_002_00000012.png,32,Man,black,neutral
contempt_-_S149_002_00000013.png,32,Man,black,happy
contempt_-_S151_002_00000027.png,26,Man,white,happy
contempt_-_S151_002_00000028.png,26,Man,white,neutral
contempt_-_S151_002_00000029.png,25,Man,white,happy
contempt_-_S154_002_00000011.png,25,Woman,white,neutral
contempt_-_S154_002_00000012.png,25,Woman,white,neutral
contempt_-_S154_002_00000013.png,25,Woman,white,neutral
contempt_-_S155_002_00000010.png,25,Woman,white,neutral
contempt_-_S155_002_00000011.png,24,Woman,white,neutral
contempt_-_S155_002_00000012.png,25,Woman,white,neutral
contempt_-_S156_002_00000019.png,33,Woman,white,happy
contempt_-_S156_002_00000020.png,32,Woman,white,neutral
contempt_-_S156_002_00000021.png,33,Woman,white,neutral
contempt_-_S157_002_00000009.png,21,Woman,white,neutral
contempt_-_S157_002_00000010.png,22,Woman,white,neutral
contempt_-_S157_002_00000011.png,22,Woman,white,neutral
contempt_-_S158_002_00000009.png,32,Woman,white,neutral
contempt_-_S158_002_00000010.png,33,Woman,white,neutral
contempt_-_S158_002_00000011.png,32,Woman,white,neutral
contempt_-_S160_006_00000008.png,29,Man,white,sad
contempt_-_S160_006_00000009.png,29,Man,white,sad
contempt_-_S160_006_00000010.png,30,Man,white,sad
contempt_-_S502_002_00000007.png,30,Man,asian,neutral
contempt_-_S502_002_00000008.png,31,Man,asian,neutral
contempt_-_S502_002_00000009.png,30,Man,asian,neutral
contempt_-_S503_002_00000006.png,36,Woman,asian,sad
contempt_-_S503_002_00000007.png,38,Woman,asian,sad
contempt_-_S503_002_00000008.png,38,Woman,asian,sad
contempt_-_S504_002_00000007.png,26,Man,black,neutral
contempt_-_S504_002_00000008.png,26,Man,black,neutral
contempt_-_S504_002_00000009.png,27,Man,asian,neutral
contempt_-_S505_002_00000019.png,32,Man,asian,neutral
contempt_-_S505_002_00000020.png,33,Man,asian,neutral
contempt_-_S505_002_00000021.png,33,Man,asian,neutral
contempt_-_S506_002_00000007.png,31,Man,white,neutral
contempt_-_S506_002_00000008.png,31,Man,white,neutral
contempt_-_S506_002_00000009.png,31,Man,white,neutral
contempt_-_S895_002_00000005.png,32,Woman,white,neutral
contempt_-_S895_002_00000006.png,34,Woman,white,neutral
contempt_-_S895_002_00000007.png,34,Woman,white,neutral
