Image,Age,Gender,Race,Emotion
fear_-_S011_003_00000012.png,26,Woman,asian,neutral
fear_-_S011_003_00000013.png,25,Woman,asian,neutral
fear_-_S011_003_00000014.png,25,Woman,asian,neutral
fear_-_S032_004_00000012.png,28,Woman,white,angry
fear_-_S032_004_00000013.png,27,Woman,white,angry
fear_-_S032_004_00000014.png,30,Woman,white,angry
fear_-_S046_003_00000014.png,47,Woman,white,neutral
fear_-_S046_003_00000015.png,48,Woman,white,neutral
fear_-_S046_003_00000016.png,48,Woman,white,neutral
fear_-_S050_001_00000015.png,24,Man,white,happy
fear_-_S050_001_00000016.png,27,Man,white,happy
fear_-_S050_001_00000017.png,25,Man,white,neutral
fear_-_S054_002_00000013.png,27,Man,white,neutral
fear_-_S054_002_00000014.png,28,Man,white,neutral
fear_-_S054_002_00000015.png,28,Man,white,neutral
fear_-_S055_006_00000006.png,31,Woman,white,neutral
fear_-_S055_006_00000007.png,30,Woman,white,happy
fear_-_S055_006_00000008.png,29,Woman,white,sad
fear_-_S059_002_00000015.png,37,Woman,white,happy
fear_-_S059_002_00000016.png,31,Woman,white,happy
fear_-_S059_002_00000017.png,38,Woman,white,happy
fear_-_S062_001_00000015.png,32,Man,white,angry
fear_-_S062_001_00000016.png,33,Man,white,angry
fear_-_S062_001_00000017.png,33,Man,white,angry
fear_-_S065_002_00000020.png,36,Woman,white,fear
fear_-_S065_002_00000021.png,35,Woman,white,fear
fear_-_S065_002_00000022.png,35,Woman,white,fear
fear_-_S068_004_00000008.png,35,Woman,white,neutral
fear_-_S068_004_00000009.png,40,Woman,white,neutral
fear_-_S068_004_00000010.png,36,Woman,white,neutral
fear_-_S074_001_00000018.png,26,Woman,white,neutral
fear_-_S074_001_00000019.png,26,Woman,white,neutral
fear_-_S074_001_00000020.png,26,Woman,white,neutral
fear_-_S084_002_00000021.png,33,Woman,white,neutral
fear_-_S084_002_00000022.png,30,Woman,white,neutral
fear_-_S084_002_00000023.png,33,Woman,white,happy
fear_-_S091_001_00000013.png,30,Woman,white,surprise
fear_-_S091_001_00000014.png,29,Woman,white,surprise
fear_-_S091_001_00000015.png,29,Woman,white,surprise
fear_-_S102_003_00000014.png,45,Woman,white,sad
fear_-_S102_003_00000015.png,44,Woman,white,sad
fear_-_S102_003_00000016.png,43,Woman,white,sad
fear_-_S117_003_00000012.png,40,Woman,white,sad
fear_-_S117_003_00000013.png,40,Woman,white,sad
fear_-_S117_003_00000014.png,42,Woman,white,sad
fear_-_S119_003_00000022.png,30,Man,white,neutral
fear_-_S119_003_00000023.png,32,Man,white,neutral
fear_-_S119_003_00000024.png,30,Man,white,neutral
fear_-_S124_003_00000009.png,28,Woman,white,sad
fear_-_S124_003_00000010.png,27,Woman,white,sad
fear_-_S124_003_00000011.png,29,Woman,white,sad
fear_-_S125_006_00000020.png,32,Woman,latino hispanic,happy
fear_-_S125_006_00000021.png,32,Woman,latino hispanic,happy
fear_-_S125_006_00000022.png,32,Woman,latino hispanic,happy
fear_-_S132_003_00000021.png,25,Man,white,happy
fear_-_S132_003_00000022.png,26,Man,white,happy
fear_-_S132_003_00000023.png,26,Man,white,angry
fear_-_S138_001_00000010.png,31,Woman,white,neutral
fear_-_S138_001_00000011.png,32,Woman,white,happy
fear_-_S138_001_00000012.png,31,Woman,white,sad
fear_-_S501_004_00000054.png,33,Man,black,angry
fear_-_S501_004_00000055.png,33,Man,black,angry
fear_-_S501_004_00000056.png,33,Man,black,angry
fear_-_S502_004_00000050.png,33,Woman,asian,neutral
fear_-_S502_004_00000051.png,31,Man,asian,fear
fear_-_S502_004_00000052.png,32,Man,asian,fear
fear_-_S504_004_00000013.png,28,Man,black,neutral
fear_-_S504_004_00000014.png,28,Man,black,neutral
fear_-_S504_004_00000015.png,28,Man,black,neutral
fear_-_S506_004_00000036.png,28,Man,white,neutral
fear_-_S506_004_00000037.png,31,Man,white,neutral
fear_-_S506_004_00000038.png,30,Man,white,neutral
fear_-_S999_003_00000053.png,40,Woman,white,angry
fear_-_S999_003_00000054.png,39,Woman,white,neutral
fear_-_S999_003_00000055.png,40,Woman,white,happy
