Image,Age,Gender,Race,Emotion
surprise_-_S010_002_00000012.png,27,Man,white,surprise
surprise_-_S010_002_00000013.png,26,Man,white,surprise
surprise_-_S010_002_00000014.png,32,Woman,white,surprise
surprise_-_S011_001_00000014.png,22,Man,white,surprise
surprise_-_S011_001_00000015.png,23,Man,white,surprise
surprise_-_S011_001_00000016.png,23,Man,white,surprise
surprise_-_S014_001_00000027.png,31,Woman,white,surprise
surprise_-_S014_001_00000028.png,30,Woman,white,surprise
surprise_-_S014_001_00000029.png,28,Woman,white,surprise
surprise_-_S022_001_00000028.png,24,Woman,latino hispanic,surprise
surprise_-_S022_001_00000029.png,24,Woman,latino hispanic,fear
surprise_-_S022_001_00000030.png,26,Woman,latino hispanic,surprise
surprise_-_S026_001_00000013.png,29,Woman,white,surprise
surprise_-_S026_001_00000014.png,28,Woman,white,surprise
surprise_-_S026_001_00000015.png,29,Woman,white,surprise
surprise_-_S032_001_00000020.png,26,Woman,white,surprise
surprise_-_S032_001_00000021.png,25,Woman,white,neutral
surprise_-_S032_001_00000022.png,25,Woman,white,surprise
surprise_-_S034_001_00000027.png,30,Woman,white,fear
surprise_-_S034_001_00000028.png,30,Woman,white,fear
surprise_-_S034_001_00000029.png,31,Woman,white,fear
surprise_-_S035_001_00000013.png,29,Woman,white,surprise
surprise_-_S035_001_00000014.png,30,Woman,white,surprise
surprise_-_S035_001_00000015.png,30,Woman,white,surprise
surprise_-_S037_001_00000018.png,28,Man,white,surprise
surprise_-_S037_001_00000019.png,28,Man,white,surprise
surprise_-_S037_001_00000020.png,28,Man,white,surprise
surprise_-_S042_001_00000017.png,23,Man,asian,surprise
surprise_-_S042_001_00000018.png,26,Man,asian,surprise
surprise_-_S042_001_00000019.png,26,Man,asian,surprise
surprise_-_S044_001_00000022.png,22,Man,asian,surprise
surprise_-_S044_001_00000023.png,22,Man,asian,angry
surprise_-_S044_001_00000024.png,22,Man,asian,angry
surprise_-_S046_002_00000004.png,37,Woman,white,neutral
surprise_-_S046_002_00000005.png,43,Woman,white,surprise
surprise_-_S046_002_00000006.png,38,Woman,white,surprise
surprise_-_S050_002_00000016.png,29,Man,white,surprise
surprise_-_S050_002_00000017.png,29,Man,white,surprise
surprise_-_S050_002_00000018.png,29,Man,white,surprise
surprise_-_S051_002_00000017.png,32,Man,black,neutral
surprise_-_S051_002_00000018.png,31,Man,black,surprise
surprise_-_S051_002_00000019.png,31,Man,black,neutral
surprise_-_S052_001_00000013.png,32,Woman,white,surprise
surprise_-_S052_001_00000014.png,31,Woman,white,surprise
surprise_-_S052_001_00000015.png,29,Woman,white,surprise
surprise_-_S053_001_00000021.png,21,Man,latino hispanic,surprise
surprise_-_S053_001_00000022.png,21,Man,latino hispanic,surprise
surprise_-_S053_001_00000023.png,21,Man,latino hispanic,surprise
