datasetName,folderName,Image,Age,Gender,Race
AffectNet - Test,anger,image0000006,30,Woman,white
AffectNet - Test,anger,image0000060,34,Man,white
AffectNet - Test,anger,image0000061,44,Man,white
AffectNet - Test,anger,image0000066,49,Man,white
AffectNet - Test,anger,image0000106,30,Man,black
AffectNet - Test,anger,image0000132,32,Woman,white
AffectNet - Test,anger,image0000138,26,Man,latino hispanic
AffectNet - Test,anger,image0000182,28,Man,black
AffectNet - Test,anger,image0000195,28,Man,white
AffectNet - Test,anger,image0000213,53,Man,asian
AffectNet - Test,anger,image0000228,25,Man,black
AffectNet - Test,anger,image0000294,48,Man,latino hispanic
AffectNet - Test,anger,image0000333,42,Man,white
AffectNet - Test,anger,image0000343,33,Woman,white
AffectNet - Test,anger,image0000346,34,Man,white
AffectNet - Test,anger,image0000356,39,Man,middle eastern
AffectNet - Test,anger,image0000368,35,Man,white
AffectNet - Test,anger,image0000374,35,Man,asian
AffectNet - Test,anger,image0000390,30,Woman,white
AffectNet - Test,anger,image0000399,41,Man,white
AffectNet - Test,anger,image0000407,48,Man,white
AffectNet - Test,anger,image0000415,26,Man,white
AffectNet - Test,anger,image0000416,31,Man,indian
AffectNet - Test,anger,image0000441,47,Man,white
AffectNet - Test,anger,image0000450,28,Man,latino hispanic
AffectNet - Test,anger,image0000470,33,Man,white
AffectNet - Test,anger,image0000511,24,Man,middle eastern
AffectNet - Test,anger,image0000513,35,Man,black
AffectNet - Test,anger,image0000593,56,Man,asian
AffectNet - Test,anger,image0000602,34,Man,latino hispanic
AffectNet - Test,anger,image0000690,34,Woman,asian
AffectNet - Test,anger,image0000697,32,Woman,indian
AffectNet - Test,anger,image0000722,30,Woman,white
AffectNet - Test,anger,image0000723,36,Man,white
AffectNet - Test,anger,image0000758,23,Man,asian
AffectNet - Test,anger,image0000776,31,Man,white
AffectNet - Test,anger,image0000825,30,Man,asian
AffectNet - Test,anger,image0000908,29,Man,middle eastern
AffectNet - Test,anger,image0000923,57,Man,middle eastern
AffectNet - Test,anger,image0000932,22,Man,white
AffectNet - Test,anger,image0000949,33,Man,white
AffectNet - Test,anger,image0000963,28,Man,black
AffectNet - Test,anger,image0000965,30,Woman,white
AffectNet - Test,anger,image0000972,32,Man,black
AffectNet - Test,anger,image0000996,29,Man,asian
AffectNet - Test,anger,image0001015,30,Man,white
AffectNet - Test,anger,image0001021,27,Man,asian
AffectNet - Test,anger,image0001061,42,Man,white
AffectNet - Test,anger,image0001062,31,Woman,white
AffectNet - Test,anger,image0001063,30,Woman,white
AffectNet - Test,anger,image0001066,33,Man,middle eastern
AffectNet - Test,anger,image0001086,30,Woman,white
AffectNet - Test,anger,image0001113,35,Man,white
AffectNet - Test,anger,image0001120,29,Man,middle eastern
AffectNet - Test,anger,image0001152,46,Man,white
AffectNet - Test,anger,image0001161,22,Man,indian
AffectNet - Test,anger,image0001241,22,Man,white
AffectNet - Test,anger,image0001244,43,Man,latino hispanic
AffectNet - Test,anger,image0001258,37,Man,white
AffectNet - Test,anger,image0001283,39,Man,white
AffectNet - Test,anger,image0001296,46,Man,white
AffectNet - Test,anger,image0001305,32,Woman,white
AffectNet - Test,anger,image0001314,29,Man,middle eastern
AffectNet - Test,anger,image0001322,31,Man,white
AffectNet - Test,anger,image0001341,41,Man,white
AffectNet - Test,anger,image0001348,43,Man,white
AffectNet - Test,anger,image0001375,34,Man,white
AffectNet - Test,anger,image0001453,39,Woman,middle eastern
AffectNet - Test,anger,image0001470,52,Man,white
AffectNet - Test,anger,image0001516,26,Man,black
AffectNet - Test,anger,image0001521,33,Woman,white
AffectNet - Test,anger,image0001524,27,Man,white
AffectNet - Test,anger,image0001527,43,Man,white
AffectNet - Test,anger,image0001529,47,Man,middle eastern
AffectNet - Test,anger,image0001538,48,Man,latino hispanic
AffectNet - Test,anger,image0001555,27,Man,white
AffectNet - Test,anger,image0001568,30,Man,latino hispanic
